v2 Code,v1 Code,Matrix,Analyte,Analyte Code,Extraction Name,Extraction Name v2 Code,Extraction reagents/formulation,Extraction Ratio,Extraction Basis,Extraction Time,Analyte Measurement,v2 Analyte Measurement Code,Observation Category,Reporting Unit,Unit Code,Acceptance,Status,Organization,Citation,Row Added Date,Row Changed Date,Change Comment
L_MODV2_MANURE_5DAYGERM_001,M-5DAYGERM,MANURE,5 day germination,5DAYGERM,,,,,,,,,,None,None,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_7DAYVIGOR_001,M-7DVIGOR,MANURE,7 day vigor,7DAYVIGOR,,,,,,,,,,None,None,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_NH3N_001,M-NH4.12.05,MANURE,ammonia-nitrogen,NH3N,Water,WATER,Steam distillation,Varies,As Received,,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,%,prcnt,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_NH3N_002,M-NH4.12.07,MANURE,ammonia-nitrogen,NH3N,Water,WATER,Steam distillation,Varies,As Received,,Titration,TITRATION,MEASURED,%,prcnt,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_NH3N_003,M-NH4.12.02,MANURE,ammonia-nitrogen,NH3N,Water,WATER,Steam distillation,Varies,As Received,,Ion Selective Electrode,ION_SELECTIVE_ELECTRODE,MEASURED,%,prcnt,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_NH4N_001,,MANURE,ammonium-nitrogen,NH4N,Water,WATER,Reagent grade water,Varies,As Received,20 min,Ion Selective Electrode,ION_SELECTIVE_ELECTRODE,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, M-4.1",5-Nov-24,,
L_MODV2_MANURE_NH4N_002,,MANURE,ammonium-nitrogen,NH4N,Potassium chloride,POTASSIUM_CHLORIDE,Acidified 1.0 M KCl,Varies,As Received,30 min,Diffusion Conductivity,DIFFUSION_CONDUCTIVITY,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, M-4.2",5-Nov-24,,
L_MODV2_MANURE_NH4N_003,,MANURE,ammonium-nitrogen,NH4N,Sodium hydroxide,SODIUM_HYDROXIDE,10 M NaOH,Varies,As Received,30 min,Titration,TITRATION,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, M-4.2",5-Nov-24,,
L_MODV2_MANURE_NH4N_004,,MANURE,ammonium-nitrogen,NH4N,Sodium hydroxide,SODIUM_HYDROXIDE,10 M NaOH,Varies,As Received,20 min,Ion Selective Electrode,ION_SELECTIVE_ELECTRODE,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, M-4.1",5-Nov-24,,
L_MODV2_MANURE_NH4N_005,,MANURE,ammonium-nitrogen,NH4N,Water,WATER,Acidified 1.0 M KCl,Varies,As Received,30 min,Titration,TITRATION,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, M-4.3",5-Nov-24,,
L_MODV2_MANURE_NH4N_006,M-NH4.13.05,MANURE,ammonium-nitrogen,NH4N,Potassium chloride,POTASSIUM_CHLORIDE,Acidified 1.0 M KCl,Varies,As Received,30 min,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, M-4.2",5-Nov-24,,
L_MODV2_MANURE_AS_001,M-AS.11.05,MANURE,arsenic,AS,Microwave Digestion Closed Vessel,MICROWAVE_CLOSED_VESSEL,Nitric acid,Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1a, M-5.2",5-Nov-24,,
L_MODV2_MANURE_B_001,M-B.10.05,MANURE,boron,B,Nitric-Perchloric Acid Digestion,NITRIC_PERCHLORIC_ACID,"Nitric acid, perchloric acid",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,AOAC International,AOAC 935.13A ,5-Nov-24,,
L_MODV2_MANURE_B_002,M-B.15.08,MANURE,boron,B,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_B_003,,MANURE,boron,B,Microwave Digestion Closed Vessel,MICROWAVE_CLOSED_VESSEL,Nitric acid,Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1a, M-5.2",5-Nov-24,,
L_MODV2_MANURE_BD_001,M-BD.00.01,MANURE,bulk density,BD,,,,,,,Gravimetric,GRAVIMETRIC,,g/cm3,g1[cm3]-1,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_CNRATIO_001,M-C:N.04.06,MANURE,C:N ratio,CNRATIO,Combustion,COMBUSTION,Combustion,N/A,Dry basis,Varies,Combustion Analyzer,COMBUSTION_ANALYZER,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-2.1",5-Nov-24,,
L_MODV2_MANURE_CD_001,M-CD.11.05,MANURE,cadmium,CD,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_CA_001,M-CA.10.05,MANURE,calcium,CA,Nitric-Perchloric Acid Digestion,MICROWAVE_OPEN_VESSEL,"Nitric acid, perchloric acid",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,AOAC International,AOAC 935.13A ,5-Nov-24,,
L_MODV2_MANURE_CA_002,M-CA.11.05,MANURE,calcium,CA,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP,ICP,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_CA_003,M-CA.15.08,MANURE,calcium,CA,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_CA_004,,MANURE,calcium,CA,Microwave Digestion Closed Vessel,MICROWAVE_CLOSED_VESSEL,Nitric acid,Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1a, M-5.2",5-Nov-24,,
L_MODV2_MANURE_CACO3EQ_001,,MANURE,calcium carbonate equivalent,CACO3EQ,Hydrochloric Acid,HYDROCHLORIC_ACID,0.5 M HCL,Varies,v/m or v/v,Varies,Titration,TITRATION,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, M-7.1",5-Nov-24,,
L_MODV2_MANURE_TC_001,M-TC,MANURE,"carbon, total",TC,Combustion,COMBUSTION,Combustion,N/A,Dry basis,Varies,Combustion Analyzer,COMBUSTION_ANALYZER,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-2.1",5-Nov-24,,
L_MODV2_MANURE_TC_002,,MANURE,"carbon, total",TC,Combustion,COMBUSTION,Oxygen,N/A,As Received,Varies,Thermal Conductivity,THERMAL_CONDUCTIVITY,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, M-2.1",5-Nov-24,,
L_MODV2_MANURE_TOC_001,M-TOC.05.07,MANURE,"carbon, total organic",TOC,Heat of Dilution,HEAT_OF_DILUTION,,,,,Titration,TITRATION,,%,prcnt,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_CL_001,M-CL.00.07,MANURE,chloride,CL,Acetic Acid,ACETIC_ACID,2.0% glacial acetic acid,Varies,m/v,30 min,Potentiometric,POTENTIOMETRIC,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-10.3 (7.1.1)",5-Nov-24,,
L_MODV2_MANURE_CL_002,,MANURE,chloride,CL,Acetic Acid,ACETIC_ACID,2.0% glacial acetic acid,Varies,v/v,30 min,Potentiometric,POTENTIOMETRIC,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-10.3 (7.1.2)",5-Nov-24,,
L_MODV2_MANURE_CL_003,,MANURE,chloride,CL,Acetic Acid,ACETIC_ACID,2.0% glacial acetic acid,Varies,m/v,30 min,Coulometry,COULOMETRY,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-10.2 (7.1.1)",5-Nov-24,,
L_MODV2_MANURE_CL_004,,MANURE,chloride,CL,Acetic Acid,ACETIC_ACID,2.0% glacial acetic acid,Varies,v/v,30 min,Coulometry,COULOMETRY,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-10.3 (7.1.2)",5-Nov-24,,
L_MODV2_MANURE_CL_005,M-CL.13.05,MANURE,chloride,CL,Calcium Nitrate,CALCIUM_NITRATE,0.01 M Ca(NO3)2 · 4H2O,Varies,m/v,30 min,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-10.1 (7.1.1)",5-Nov-24,,
L_MODV2_MANURE_CL_006,,MANURE,chloride,CL,Calcium Nitrate,CALCIUM_NITRATE,0.01 M Ca(NO3)2 · 4H2O,Varies,v/v,30 min,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-10.1 (7.1.2)",5-Nov-24,,
L_MODV2_MANURE_CR_001,M-CR.11.05,MANURE,chromium,CR,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_CR_002,,MANURE,chromium,CR,Microwave Digestion Closed Vessel,MICROWAVE_CLOSED_VESSEL,Nitric acid,Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1a, M-5.2",5-Nov-24,,
L_MODV2_MANURE_CO_001,M-CO.11.05,MANURE,cobalt,CO,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_COLIFORM_FECAL_001,M-FCOL.00.03,MANURE,"coliform, fecal",COLIFORM_FECAL,,,,,,,Microbiological,MICROBIOLOGICAL,,MPN/g,mpn1g-1,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_COLIFORM_TOTAL_001,M-TCOL.00.03,MANURE,"coliform, total",COLIFORM_TOTAL,,,,,,,Microbiological,MICROBIOLOGICAL,,MPN/g,mpn1g-1,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_CU_001,M-CU.10.05,MANURE,copper,CU,Nitric-Perchloric Acid Digestion,MICROWAVE_OPEN_VESSEL,"Nitric acid, perchloric acid",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,AOAC International,AOAC 935.13A ,5-Nov-24,,
L_MODV2_MANURE_CU_002,M-CU.11.05,MANURE,copper,CU,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP,ICP,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_CU_003,M-CU.15.08,MANURE,copper,CU,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_CU_004,,MANURE,copper,CU,Microwave Digestion Closed Vessel,MICROWAVE_CLOSED_VESSEL,Nitric acid,Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1a, M-5.2",5-Nov-24,,
L_MODV2_MANURE_ECOLI_001,M-ECOLI.00.03,MANURE,e.coli,ECOLI,,,,,,,Microbiological,MICROBIOLOGICAL,,cfu/ml,cfu1ml-1,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_EC_001,M-COND,MANURE,electrical conductivity,EC,,,,,,,,,MEASURED,dS/m,dS1m-1,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_EC_002,,MANURE,electrical conductivity,EC,Manure to Water Slurry,MANURE_H2O_SLURRY,Water,1:01,As Received,,Potentiometric,POTENTIOMETRIC,MEASURED,dS/m,dS1m-1,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_EC_003,M-EC.01.04,MANURE,electrical conductivity,EC,Manure to Water Slurry,MANURE_H2O_SLURRY,Water,1:02,As Received,30 min,Potentiometric,POTENTIOMETRIC,MEASURED,dS/m,dS1m-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-9.1 (7.3)",5-Nov-24,,
L_MODV2_MANURE_EC_004,,MANURE,electrical conductivity,EC,Manure to Water Slurry,MANURE_H2O_SLURRY,Water,1:05,As Received,30 min,Potentiometric,POTENTIOMETRIC,MEASURED,dS/m,dS1m-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-9.1 (7.4)",5-Nov-24,,
L_MODV2_MANURE_EC_005,,MANURE,electrical conductivity,EC,Direct Measurement,DIRECT_MEASUREMENT,N/A,N/A,As Received,N/A,Potentiometric,POTENTIOMETRIC,MEASURED,dS/m,dS1m-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-9.1 (7.2)",5-Nov-24,,
L_MODV2_MANURE_HUMICACID_001,M-HA.00.01,MANURE,humic acid,HUMICACID,,,,,,,Gravimetric,GRAVIMETRIC,,%,prcnt,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_FE_001,M-FE.10.05,MANURE,iron,FE,Nitric-Perchloric Acid Digestion,MICROWAVE_OPEN_VESSEL,"Nitric acid, perchloric acid",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,AOAC International,AOAC 935.13A ,5-Nov-24,,
L_MODV2_MANURE_FE_002,M-FE.11.05,MANURE,iron,FE,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP,ICP,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_FE_003,M-FE.15.08,MANURE,iron,FE,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_FE_004,,MANURE,iron,FE,Microwave Digestion Closed Vessel,MICROWAVE_CLOSED_VESSEL,Nitric acid,Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1a, M-5.2",5-Nov-24,,
L_MODV2_MANURE_PB_001,M-PB.11.05,MANURE,lead,PB,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1a, M-5.2",5-Nov-24,,
L_MODV2_MANURE_MG_001,M-MG.10.05,MANURE,magnesium,MG,Nitric-Perchloric Acid Digestion,MICROWAVE_OPEN_VESSEL,"Nitric acid, perchloric acid",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,AOAC International,AOAC 935.13A ,5-Nov-24,,
L_MODV2_MANURE_MG_002,M-MG.11.05,MANURE,magnesium,MG,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP,ICP,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1a, M-5.2",5-Nov-24,,
L_MODV2_MANURE_MG_003,M-MG.15.08,MANURE,magnesium,MG,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1a, M-5.2",5-Nov-24,,
L_MODV2_MANURE_MG_004,,MANURE,magnesium,MG,Microwave Digestion Closed Vessel,MICROWAVE_CLOSED_VESSEL,Nitric acid,Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1a, M-5.2",5-Nov-24,,
L_MODV2_MANURE_MMM_001,M-MMM.00.01,MANURE,man made materials,MMM,,,,,,,Gravimetric,GRAVIMETRIC,,%,prcnt,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_MN_001,M-MN.10.05,MANURE,manganese,MN,Nitric-Perchloric Acid Digestion,MICROWAVE_OPEN_VESSEL,"Nitric acid, perchloric acid",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,AOAC International,AOAC 935.13A ,5-Nov-24,,
