v2 Code,v1 Code,Matrix,Analyte,Analyte Code,Extraction Name,Extraction Name v2 Code,Extraction reagents/formulation,Extraction Ratio,Extraction Basis,Extraction Time,Analyte Measurement,v2 Analyte Measurement Code,Observation Category,Reporting Unit,Unit Code,Acceptance,Status,Organization,Citation,Row Added Date,Row Changed Date,Change Comment
L_MODV2_MANURE_MN_002,M-MN.11.05,MANURE,manganese,MN,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP,ICP,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_MN_003,M-MN.15.08,MANURE,manganese,MN,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_MN_004,,MANURE,manganese,MN,Microwave Digestion Closed Vessel,MICROWAVE_CLOSED_VESSEL,Nitric acid,Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1a, M-5.2",5-Nov-24,,
L_MODV2_MANURE_MATURITYINDEX_001,M-MI.00.04,MANURE,maturity index,MATURITYINDEX,,,,,,,Solvita,SOLTIVA,,None,None,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_HG_001,M-HG.03.05,MANURE,mercury,HG,Aqua Regia/Potassium Permanganate,AQUA_REGIA_KMNO4,,,,,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_GWC_001,M-MOIST.00.01,MANURE,moisture content,GWC,Oven,OVEN_DRYING,Sample heated to constant weight at 105 C,N/A,As Received,Varies,Gravimetric,GRAVIMETRIC,CALCULATED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1a, M-1.1",5-Nov-24,,
L_MODV2_MANURE_MO_001,M-MO.11.05,MANURE,molybdenum,MO,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.3",5-Nov-24,,
L_MODV2_MANURE_NI_001,M-NI.11.05,MANURE,nickel,NI,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_NO3N_001,M-NO3.06.05,MANURE,nitrate-nitrogen,NO3N,Potassium Chloride,POTASSIUM_CHLORIDE,1.0 M KCl,Varies,As Received,30 min,"Cd or N2H4 reduction, Spectrophotometric",CD_SPECTROPHOTOMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, M-4.3",5-Nov-24,,
L_MODV2_MANURE_NO3N_002,,MANURE,nitrate-nitrogen,NO3N,Potassium Chloride,POTASSIUM_CHLORIDE,2.0 M KCl,Varies,As Received,30 min,"Cd or N2H4 reduction, Spectrophotometric",CD_SPECTROPHOTOMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, M-4.3",5-Nov-24,,
L_MODV2_MANURE_NO3N_003,,MANURE,nitrate-nitrogen,NO3N,Potassium Chloride,POTASSIUM_CHLORIDE,Acidified 1.0 M KCl,Varies,As Received,30 min,Diffusion Conductivity,DIFFUSION_CONDUCTIVITY,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, M-4.2",5-Nov-24,,
L_MODV2_MANURE_NO3N_004,M-NO3N.06.02,MANURE,nitrate-nitrogen,NO3N,Potassium Chloride,POTASSIUM_CHLORIDE,1.0 M KCl,Varies,As Received,30 min,Ion Selective Electrode,ION_SELECTIVE_ELECTRODE,MEASURED,%,prcnt,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_NO3N_005,M-NO3N.13.05,MANURE,nitrate-nitrogen,NO3N,Water,WATER,Reagent grade water,Varies,As Received,,"Cd or N2H4 reduction, Spectrophotometric",CD_SPECTROPHOTOMETRIC,MEASURED,%,prcnt,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_TKN_001,M-TKN.07.07,MANURE,"nitrogen, total",TKN,Kjeldahl,KJELDAHL,Sulfuric Acid Digest / Catalyst,Varies,As Received,Varies,Distillation/Titration ,DISTILLATION_TITRATION,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, M-3.2",5-Nov-24,,
L_MODV2_MANURE_TKN_002,,MANURE,"nitrogen, total",TKN,Kjeldahl,KJELDAHL,Sulfuric Acid Digest / Catalyst,Varies,As Received,Varies,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, M-3.2",5-Nov-24,,
L_MODV2_MANURE_TKN_003,,MANURE,"nitrogen, total",TKN,Kjeldahl,KJELDAHL,Sulfuric Acid Digest / Catalyst,Varies,As Received,Varies,Diffusion Conductivity,DIFFUSION_CONDUCTIVITY,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, M-3.2",5-Nov-24,,
L_MODV2_MANURE_TKN_004,M-TN.04.06,MANURE,"nitrogen, total",TKN,Combustion,COMBUSTION,Oxygen,N/A,As Received,Varies,Thermal Conductivity,THERMAL_CONDUCTIVITY,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, M-3.1",5-Nov-24,,
L_MODV2_MANURE_TKN_005,,MANURE,"nitrogen, total",TKN,Water,WATER,30% solid to liquid ratio,Varies,As Received,,Near Infra-red Reflectance,NIR_REFLECTANCE,MEASURED,%,prcnt,EXPERIMENTAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, M-3.3",5-Nov-24,,
L_MODV2_MANURE_NWI_001,M-WINSOLN,MANURE,"nitrogen, water insoluble ",NWI,,,,,,,,,,mg/kg,mg1kg-1,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_NWS_001,M-WSOLN,MANURE,"nitrogen, water soluble",NWS,,,,,,,,,,mg/kg,mg1kg-1,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_OM_001,M-OM.08.01,MANURE,organic matter,OM,Loss on Ignition (LOI),LOSS_ON_IGNITION,,,,,Gravimetric,GRAVIMETRIC,MEASURED,%,prcnt,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_PH_001,M-PH.01.04,MANURE,pH,PH,Manure to Water Slurry,MANURE_H2O_SLURRY,Water,1:02,As Received,N/A,pH Electrode,PH_ELECTRODE,MEASURED,S.U.,su,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-8.1 (7.3)",5-Nov-24,,
L_MODV2_MANURE_PH_002,,MANURE,pH,PH,Direct Measurement,DIRECT_MEASUREMENT,N/A,N/A,As Received,N/A,pH Electrode,PH_ELECTRODE,MEASURED,S.U.,su,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-8.1 (7.2)",5-Nov-24,,
L_MODV2_MANURE_PH_003,,MANURE,pH,PH,Manure to Water Slurry,MANURE_H2O_SLURRY,,1:01,,N/A,pH Electrode,PH_ELECTRODE,MEASURED,S.U.,su,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_PO4_001,M-P2O5.02.05,MANURE,phosphate,PO4,Acetic Acid,ACETIC_ACID,2% Acetic Acid Extraction,,,,ICP-OES,ICP-OES,MEASURED,%,prcnt,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_PO4P_001,M-P2O5P.02.05,MANURE,phosphate-phosphorus,PO4P,Acetic Acid,ACETIC_ACID,2% Acetic Acid Extraction,,,,ICP-OES,ICP-OES,MEASURED,%,prcnt,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_P_001,M-TP.10.05,MANURE,phosphorus,P,Nitric-Perchloric Acid Digestion,MICROWAVE_OPEN_VESSEL,"Nitric acid, perchloric acid",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,AOAC International,AOAC 935.13A ,5-Nov-24,,
L_MODV2_MANURE_P_002,M-P.15.08,MANURE,phosphorus,P,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_P_003,,MANURE,phosphorus,P,Microwave Digestion Closed Vessel,MICROWAVE_CLOSED_VESSEL,Nitric acid,Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1a, M-5.2",5-Nov-24,,
L_MODV2_MANURE_P_004,,MANURE,phosphorus,P,Muffle Furnace Dry Ashing ,MUFFLE_FURNACE_DRY_ASHING,Combustion,N/A,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1c, M-5.2",5-Nov-24,,
L_MODV2_MANURE_P_005,,MANURE,phosphorus,P,Nitric Acid,NITRIC_ACID,"Nitric acid, concentrated",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.3",5-Nov-24,,
L_MODV2_MANURE_P_006,,MANURE,phosphorus,P,Nitric-Perchloric Acid Digestion,MICROWAVE_OPEN_VESSEL,"Nitric acid, perchloric acid",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,AOAC International,AOAC 935.13A ,5-Nov-24,,
L_MODV2_MANURE_P_007,,MANURE,phosphorus,P,Muffle Furnace Dry Ashing ,MUFFLE_FURNACE_DRY_ASHING,Combustion,N/A,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1c, M-5.3",5-Nov-24,,
L_MODV2_MANURE_P_008,M-TP.11.05,MANURE,phosphorus,P,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_P_WATER_EXTRACTABLE_001,,MANURE,"phosphorus, water extractable ",P_WATER_EXTRACTABLE,Water,WATER,Water,100:1 V:S,v/m,60 min,ICP-OES,ICP-OES,MEASURED,g/kg,g1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-6.1",5-Nov-24,,
L_MODV2_MANURE_K_001,M-TK.10.06,MANURE,potassium,K,Nitric-Perchloric Acid Digestion,MICROWAVE_OPEN_VESSEL,"Nitric acid, perchloric acid",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,AOAC International,AOAC 935.13A ,5-Nov-24,,
L_MODV2_MANURE_K_002,M-K.15.08,MANURE,potassium,K,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_K_003,,MANURE,potassium,K,Microwave Digestion Closed Vessel,MICROWAVE_CLOSED_VESSEL,Nitric acid,Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1a, M-5.2",5-Nov-24,,
L_MODV2_MANURE_K_004,M-TK.11.05,MANURE,potassium,K,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_SOLUBLE_K_001,M-SOLK.02.05,MANURE,"potassium, soluble",SOLUBLE_K,Acetic Acid,ACETIC_ACID,2% Acetic Acid Extraction,,,,Spectrophotometric,SPECTROPHOTOMETRIC,,%,prcnt,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_SALMONELLA_001,M-SAL.00.03,MANURE,salmonella,SALMONELLA,,,,,,,Microbiological,MICROBIOLOGICAL,,cfu/ml,cfu1ml-1,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_SE_001,M-SE.11.05,MANURE,selenium,SE,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_NA_001,M-NA.10.05,MANURE,sodium,NA,Nitric-Perchloric Acid Digestion,MICROWAVE_OPEN_VESSEL,"Nitric acid, perchloric acid",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,AOAC International,AOAC 935.13A ,5-Nov-24,,
L_MODV2_MANURE_NA_002,M-NA.11.05,MANURE,sodium,NA,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP,ICP,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_NA_003,M-NA.15.08,MANURE,sodium,NA,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_NA_004,,MANURE,sodium,NA,Microwave Digestion Closed Vessel,MICROWAVE_CLOSED_VESSEL,Nitric acid,Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1a, M-5.2",5-Nov-24,,
L_MODV2_MANURE_SOLIDS_FIXED_001,M-ASH.09.01,MANURE,"solids, fixed",SOLIDS_FIXED,Muffle Furnace Dry Ashing ,MUFFLE_FURNACE_DRY_ASHING,Total solid residue heated to constant weight at 550 C,N/A,Dry Basis,Varies,Gravimetric,GRAVIMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-1.1",5-Nov-24,,
L_MODV2_MANURE_SOLIDS_001,M-DM.14.01,MANURE,"solids, total",SOLIDS,Oven drying,OVEN,Sample heated to constant weight at 105 C,N/A,As Received,Varies,Gravimetric,GRAVIMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1a, M-1.1",5-Nov-24,,
L_MODV2_MANURE_SOLIDS_002,M-TS.00.01,MANURE,"solids, total",SOLIDS,Oven drying,OVEN,Sample heated to constant weight at 105 C,N/A,As Received,60 min,Gravimetric,GRAVIMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1a, M-1.1",5-Nov-24,,
L_MODV2_MANURE_SOLIDS_003,,MANURE,"solids, total",SOLIDS,Oven drying,OVEN,Dry to constant weight at 80 C,N/A,As Received,60 min,Gravimetric,GRAVIMETRIC,,%,prcnt,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_SOLIDS_004,,MANURE,"solids, total",SOLIDS,Oven drying,OVEN,Dry to constant weight at 70 C,N/A,As Received,60 min,Gravimetric,GRAVIMETRIC,,%,prcnt,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_SOLID_VOLATILE_001,,MANURE,"solids, volatile ",SOLID_VOLATILE,Muffle Furnace Dry Ashing ,MUFFLE_FURNACE_DRY_ASHING,Total solid residue heated to constant weight at 550 C,N/A,Dry Basis,Varies,Gravimetric,GRAVIMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-1.1",5-Nov-24,,
L_MODV2_MANURE_SO4_001,M-SO4.02.05,MANURE,sulfate,SO4,Acetic Acid,ACETIC_ACID,2% Acetic Acid Extraction,,,,Spectrophotometric,SPECTROPHOTOMETRIC,,%,prcnt,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_SO4S_001,M-SO4S.02.05,MANURE,sulfate-sulfur,SO4S,Acetic Acid,ACETIC_ACID,2% Acetic Acid Extraction,,,,Spectrophotometric,SPECTROPHOTOMETRIC,,%,prcnt,EXPERIMENTAL,RETIRED,,,5-Nov-24,,
L_MODV2_MANURE_S_001,M-S.11.05,MANURE,sulfur,S,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_S_002,M-S.15.08,MANURE,sulfur,S,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_S_003,,MANURE,sulfur,S,Microwave Digestion Closed Vessel,MICROWAVE_CLOSED_VESSEL,Nitric acid,Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1a, M-5.2",5-Nov-24,,
L_MODV2_MANURE_S_004,M-ZN.15.08,MANURE,sulfur,S,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,%,prcnt,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_ZN_001,M-ZN.11.05,MANURE,zinc,ZN,Microwave Digestion Open Vessel,MICROWAVE_OPEN_VESSEL,"Nitric acid, hydrochloric acid, peroxide",Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1b, M-5.2",5-Nov-24,,
L_MODV2_MANURE_ZN_002,M-ZN.10.05,MANURE,zinc,ZN,Microwave Digestion Closed Vessel,MICROWAVE_CLOSED_VESSEL,Nitric acid,Varies,As Received,Varies,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,MN-DA (Minnesota Department of Agriculture),"Recommended Methods of Manure Analysis, 2nd Edition, Methods M-5.1a, M-5.2",5-Nov-24,,
